serial_date,discount_factor
46069,0.9997260649243266
46070,0.9995891255279344
46071,0.9994522048890788
46072,0.9993153030051907
46073,0.9991784198737006
46076,0.9987678829679358
46077,0.9986310748203558
46078,0.9984942854123345
46079,0.9983575147413053
46080,0.9982207628047008
46083,0.9978106193757786
46084,0.9976739423512164
46085,0.9975372840482521
46086,0.997400644464321
46087,0.9972640235968592
46090,0.996854273267654
46091,0.9967177272404355
46092,0.9965811999168711
46093,0.9964446912943987
46094,0.9963082013704571
46097,0.9958988437642045
46098,0.9957624286087757
46099,0.9956260321390749
46100,0.9954896543525421
46101,0.9953532952466183
46104,0.9949443299869152
46105,0.994808045577843
46106,0.9946717798365893
46107,0.9945355327605971
46108,0.9943993043473097
46111,0.9939907310581135
46112,0.9938545772700849
46113,0.9937184421319823
46114,0.9935823256412519
46119,0.9929020228087896
46120,0.9927660181486628
46121,0.9926300321180352
46122,0.9924940647143552
46125,0.9920862742394875
46126,0.9919503813180864
46127,0.991814507010879
46128,0.9916786513153159
46129,0.9915428142288472
46132,0.9911354145985205
46133,0.9909996519229436
46134,0.9908639078437197
46135,0.9907281823583017
46136,0.9905924754641425
46139,0.9901854663037541
46140,0.9900498337491681
46141,0.9899142197731114
46142,0.9897786243730394
46146,0.9892364284817137
46147,0.9891009259234046
46148,0.9889654419258188
46149,0.9888299764864131
46150,0.9886945296026463
46153,0.9882883002597617
46154,0.9881529275731356
46155,0.9880175734294429
46156,0.9878822378261439
46157,0.987746920760699
46160,0.9873410807660968
46161,0.9872058378266788
46162,0.9870706134124219
46163,0.9869354075207885
46164,0.9868002201492417
46167,0.9863947691297537
46168,0.986259655813188
46169,0.9861245610040282
46170,0.9859894846997392
46171,0.9858544268977861
46174,0.9854493644806012
46175,0.9853143806626516
46176,0.9851794153343698
46177,0.9850444684932228
46178,0.9849095401366783
46181,0.9845048659493423
46182,0.9843700115058919
46183,0.9842351755343876
46184,0.9841003580322993
46185,0.983965558997097
46188,0.9835612726675136
46189,0.9834265474745637
46190,0.983291840735856
46191,0.9831571524488621
46192,0.983022482611055
46195,0.9826185837674835
46196,0.9824839877011551
46197,0.9823494100713809
46198,0.9822148508756362
46199,0.9820803101113953
46202,0.9816767983824524
46203,0.9815423313189843
46204,0.9814078826744007
46205,0.9812734524461779
46206,0.9811390406317937
46209,0.9807359156464511
46210,0.9806015774622019
46211,0.9804672576791831
46212,0.9803329562948743
46213,0.9801986733067554
46216,0.9797959346943409
46217,0.9796617252657864
46218,0.979527534220826
46219,0.9793933615569415
46220,0.9792592072716151
46223,0.9788568546618118
46224,0.9787227738655472
46225,0.9785887114352566
46226,0.9784546673684249
46227,0.9783206416625366
46230,0.9779186746853827
46231,0.9777847223981206
46232,0.9776507884592303
46233,0.9775168728661981
46234,0.9773829756165114
46237,0.9769813939023991
46238,0.9768475700009711
46239,0.976713764430329
46240,0.9765799771879617
46241,0.9764462082713585
46244,0.9760450114510346
46245,0.9759113158123899
46246,0.9757776384869622
46247,0.9756439794722424
46248,0.9755103387657228
46251,0.9751095264702879
46252,0.9749759589714939
46253,0.9748424097683643
46254,0.9747088788583932
46255,0.9745753662390749
46258,0.9741749380999832
46259,0.9740414986182249
46260,0.9739080774145956
46261,0.9737746744865918
46262,0.9736412898317103
46265,0.9732412454807694
46266,0.9731079338933494
46267,0.97297464056654
46268,0.9728413654978398
46269,0.9727081086847482
46272,0.9723084477541184
46273,0.9721752639384573
46274,0.9720420983659048
46275,0.9719089510339625
46276,0.9717758219401315
46279,0.9713765440623255
46280,0.9712434878959613
46281,0.9711104499552204
46282,0.9709774302376071
46283,0.9708444287406248
46286,0.9704455335485082
46287,0.9703126049090957
46288,0.9701796944778387
46289,0.9700468022522429
46290,0.9699139282298151
46293,0.9695154153566046
46294,0.9693826141219164
46295,0.9692498310779323
46296,0.9691170662221604
46297,0.9689843195521095
46300,0.9685861886313738
46301,0.9684535146792997
46302,0.9683208589004949
46303,0.9681882212924698
46304,0.9680556018527358
46307,0.9676578525183943
46308,0.9675253057269411
46309,0.9673927770913389
46310,0.9672602666091008
46311,0.9671277742777403
46314,0.9667304061640641
46315,0.9665979864113549
46316,0.9664655847970957
46317,0.9663332013188017
46318,0.9662008359739886
46321,0.9658038487155984
46322,0.9656715558798741
46323,0.9655392811652148
46324,0.9654070245691385
46325,0.9652747860891632
46328,0.9648781793210306
46329,0.9647460132806481
46330,0.9646138653439625
46331,0.9644817355084945
46332,0.964349623771764
46335,0.9639533971292102
46336,0.9638213577626431
46337,0.963689336482422
46338,0.963557333286069
46339,0.963425348171107
46342,0.9630295012898026
46343,0.9628975884756414
46344,0.962765693730491
46345,0.9626338170518766
46346,0.9625019584373233
46349,0.9621064909532883
46350,0.9619747045702393
46351,0.961842936238883
46352,0.9617111859567469
46353,0.9615794537213586
46356,0.9611843652709615
46357,0.9610527051978478
46358,0.960921063159125
46359,0.9607894391523232
46360,0.9606578331749722
46363,0.9602631233949308
46364,0.9601315895106911
46365,0.9600000736435572
46366,0.9598685757910619
46367,0.9597370959507373
46370,0.9593427644781167
46371,0.9592113566618058
46372,0.9590799668453328
46373,0.9589485950262319
46374,0.958817241202038
46377,0.9584232876742519
46378,0.9582920058050408
46379,0.9581607419184156
46380,0.9580294960119135
46384,0.9575046921378798
46385,0.9573735360950553
46386,0.9572423980175813
46387,0.9571112779029974
46391,0.9565869770243545
46392,0.9564559466873189
46393,0.9563249342984153
46394,0.9561939398551849
46395,0.9560629633551698
46398,0.9556701414898398
46399,0.9555392367381109
46400,0.955408349917312
46401,0.9552774810249863
46402,0.9551466300586783
46405,0.9547541846913077
46406,0.9546234054045194
46407,0.9544926440314749
46408,0.9543619005697204
46409,0.9542311750168024
46412,0.9538391057865387
46413,0.9537084518444396
46414,0.953577815798915
46415,0.9534471976475132
46416,0.9533165973877835
46419,0.9529249039341204
46420,0.9527943752165745
46421,0.9526638643784502
46422,0.9525333714172983
46423,0.9524028963306704
46426,0.9520115782934467
46427,0.9518811746804333
46428,0.951750788929705
46429,0.9516204210388153
46430,0.9514900710053175
46433,0.9510991280247174
46434,0.9509688493963308
46435,0.950838588613109
46436,0.9507083456726083
46437,0.9505781205723841
46440,0.9501875522889368
46441,0.9500573985253858
46442,0.9499272625898967
46443,0.9497971444800267
46444,0.9496670441933348
46447,0.9492768502479138
46448,0.9491468212295229
46449,0.9490168100221062
46450,0.9488868166232242
46451,0.9487568410304374
46454,0.9483670210642603
46455,0.9482371166714678
46456,0.948107230072579
46457,0.9479773612651562
46458,0.9478475102467626
46461,0.9474580639013912
46462,0.9473282840147507
